CCL,Floor,MinBuildingAge,BuildingNum,UnitNum,x,y,GFA,CLASS_NUM,TYPE_NUM,WIFIHK_NUM,POI_DIVERSITY,SMK_TYPE,RGD_TYPE,BUS_TYPE,MIN_TYPE,MAL_TYPE,CVS_TYPE,RCP_TYPE,CPO_TYPE,SGD_TYPE,PLG_TYPE,BAS_TYPE,CMC_TYPE,TOI_TYPE,POB_TYPE,KDG_TYPE,CHU_TYPE,PRS_TYPE,SES_TYPE,EES_TYPE,PAV_TYPE,LIB_TYPE,SMK_DIST,RGD_DIST,BUS_DIST,MIN_DIST,MAL_DIST,CVS_DIST,RCP_DIST,CPO_DIST,SGD_DIST,PLG_DIST,BAS_DIST,CMC_DIST,TOI_DIST,POB_DIST,KDG_DIST,CHU_DIST,PRS_DIST,SES_DIST,EES_DIST,PAV_DIST,LIB_DIST,New_price
188.68,2,33,1,602,835776,815766,1315,15,87,197,3.921560078,12,31,20,4,18,50,11,58,4,12,6,6,18,38,17,22,6,5,28,8,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,28.3
188.68,2,35,32,6645,840074,815647,600,16,55,60,3.884729425,11,14,9,3,6,21,12,23,9,0,5,4,7,16,44,18,6,2,12,33,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,9
188.68,2,41,27,4328,832351,813222,518,15,49,42,4.145140914,8,11,9,8,8,7,15,21,2,6,5,5,8,11,13,7,6,6,14,25,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,7
188.68,2,17,5,2020,841163,816265,922,15,65,95,4.03976828,14,19,11,6,9,26,23,26,10,7,7,9,12,19,63,32,10,5,16,32,4,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,16.38
188.68,1,35,61,12696,840715,816517,983,15,62,71,3.996622196,12,15,10,1,6,23,15,29,10,4,5,6,11,19,52,21,9,6,13,21,3,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19
188.68,2,35,61,12696,840506,816430,684,15,63,74,4.006159555,12,21,11,4,6,25,15,31,10,5,7,6,12,20,57,21,9,5,14,29,3,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,12.9
188.68,8,28,1,68,841110,815796,440,15,65,97,4.049059766,15,21,11,6,11,25,30,29,10,11,9,9,12,20,71,36,12,7,18,35,5,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,5.72
188.68,2,37,4,652,839955,816326,523,16,64,68,4.049558912,8,18,13,3,6,22,14,32,11,5,9,5,12,18,44,18,10,4,15,30,3,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,7.38
188.68,2,10,17,410,834956,811893,1149,16,65,74,4.084461262,3,21,9,13,2,12,17,13,13,5,4,5,13,15,25,13,7,9,34,22,2,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,30
188.68,1,35,10,2180,840354,816287,521,16,64,75,3.995244458,12,21,11,4,6,26,16,33,10,5,7,6,13,20,57,21,9,5,14,34,3,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,5.73
